label_num,cleaned_text,original_length
1,you are eligible for a free voucher contact us immediately,60
0,g wants to know where the fuck you are,39
1,what bash u want for xmas how about free text messages angstrom new video phone with half price line rental call free now on to find out more,163
1,hmv bonus special pound of genuine hmv voucher to be won just answer easy questions play now send hmv to more infolinktoken,153
1,todays voda numbers ending are choose to receive a award if you have a match please call quoting claim code standard rates app,154
1,for your chance to win cash every week txt action to linktoken by tsc custcare xpweek,128
0,why is that princess i bet the brothas are all chasing you,62
1,we try to contact you re your reply to our offer of a video handset anytime any network mins unlimited text camcorder reply or call now,155
1,check out choose your babe videos smsshsexnetun fgkslpopw fgkslpo,70
1,congrats year special cinema pass for be yours call now c suprman v matrix starwars etc all free bxipwe pm dont miss out,160
1,shop till u drop is it you either k k cash oregon travel voucher call now ntt po box crbt fixedline cost ppm mobile vary,162
1,good day we tried to reach you about an update thanks for your attention,74
0,so u workin overtime nigpun,29
1,congratulations you have won a free voucher contact us immediately,69
0,the house is on the water with a dock a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel,117
0,hope you are having a good week just checking in,50
1,want get laid tonight want real dogging locations sent direct ur mob join the uks largest dogging network by txting moan to nyt eca pmsgp,160
0,hi this is yijue can i meet u at tmr,42
0,networking job is there,25
0,have a nice day my dear,25
0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,161
0,hey you gave them your photo when you registered for driving ah tmr wanna meet at yck,89
1,dear voucher holder have your next meal on us use the following link on your pc enjoy a dining experiencelinktoken,154
0,oh fuck juswoke up in a bed on a boatin the docks slept wid year old spinout giv u da gossip lr xxx,111
1,download as many ringtones as u like no restrictions s choose u can evening send yr buddys txt sir to,122
1,natalja f is inviting you to be her friend answer yes or no see her linktoken stop send stop frnd to,137
0,he also knows about lunch menu only da i know,49
1,linktoken c ringtone,84
0,mm umma ask vava also to come tell him can play later together,63
1,you are eligible for a cash prize do not miss this opportunity,64
0,see i thought it all through,30
1,you rich person won as a value vodafone customer our computer has picked you to win a prize to collect is easy just call,141
0,yes da any plm at ur office,29
0,i thk gotta go home by urself cos ill b going out shopping my frens present,85
0,im awake oh whats up,25
0,how u doin baby girl hope u are okay every time i call ure phone is off i miss u get in touch,98
1,as a sim subscriber you are selected to receive bonushome delivery sms from ok to no to claimpmessage expapril,130
0,lol i was gonna last month i cashed some in but i left ltgt just in case i was collecting more during the week cause they announced it on the blog,155
0,housemaid is the murderer coz the man was murdered on ltgt th january as public holiday all govtinstituitions are closedincluding post officeunderstand,167
1,you have new voicemail please call,50
0,so now my dad is gonna call after he gets out of work and ask all these crazy questions,89
1,thanks for your ringtone order ref number k your mobile will beryllium charged should your tone not arrive please call customer services on,164
1,urgent your mobile no was awarded bonus caller prize on this is our final try to contact u call from landline boxwrc ppm,158
0,on a tuesday night r u real,30
0,no its not specialisation can work but its slave labor will look for it this month sha cos no shakara beggar,115
0,ok thanx gd nite too,35
1,limitedtime offer get your mobile credit confirm within hours,68
1,uracil are subscribed to the best mobile content service inch the uk for per days until you send stop to helpline,139
0,glad to see your reply,24
0,ya i knw u vl givits ok thanks kanoanyway enjoy wit ur family wit st salary,89
1,get you have ordered ringtonesyour order is being processed,67
0,i am not sure about night menu i know only about noon menu,64
1,praise ur awarded either of cadmium gift vouchers free entry our weekly draw txt music to tncs linktoken,146
1,privateyour account statement for shows sim pointsnot yet redeemedcall identifier expires,143
1,dear xxxxxxx uve been invite to xchat this is our final attempt to contact u txt chat to pmsgrcvdhgsuitelandsrowwjhl ldn yrs,153
0,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,82
0,hey mr and i are going to the sea view and having a couple of gays i mean games give me a bell when ya finish,113
1,pls stop bootydelious f be invite you to be her friend reply yes or no see her linktoken stop send stop frnd to,150
1,you ve won your costa del sol vacation or await collection call now toclaim sae tc s pobox stockport skxh costpm maxmins,165
1,join the uks hottest dogging service and you can have nights of sexjust sign up and follow the instructionstext enter nownytecalpmsgp,155
0,spoke with uncle john today he strongly feels that you need to sacrifice to keep me here hes going to call you when he does i beg you to just listen dont make any promises or make it clear things are not easy and i need you to please let us work things out as long as i keep expecting help my creativity will be stifled so pls just keep him happy no promises on your part,383
0,the lay man just to let you know you are missed and thought off do have a great day and if you can send me bimbo and ugos numbers ill appreciate safe,156
1,updatenow months half price orange line rental minutescall mobileupd on or calloptoutjq,117
1,you have been selected to stay in of top british hotels for nothing holiday worth to claim call london bx swss,148
1,wanna have a laugh try chitchat on your mobile now logon by txting the word chat and send it to no cm po box london wa zf pmsg rcvd,157
0,,4
1,ou are guaranteed the latest nokia phone a gb ipod mp player oregon a prize txt word collect to no ibhltd ldnwh pmtmsgrcvd,150
1,marvel mobile play the official ultimate spiderman game on ur mobile right now text spider to for the game we ll send uracil a free ball wallpaper,166
1,dear voucher holder claim this week offer at your personal computer go to linktoken tscs apply stop texts txt stop to,157
0,otherwise had part time job natuition,41
0,did u fix the teethif not do it asapok take care,52
1,u rich person won a nokia asset a free digital camera this is what u get when u win our free auction to take part send nokia to now poboxtcrw,166
0,ugh gotta drive back to sd from la my butt is sore,54
1,you are a winner u have been specially selected receive cash or a vacation flights inc speak to a live operator claim,147
0,my superior telling that friday is leave for all other department except oursso it will be leave for youany way call waheed fathima hr and conform it,156
0,just chill for another hrs if you could sleep the pain is not a surgical emergency so see how it unfolds okay,113
0,dude while were makin those weirdy brownies my sister made awesome cookies i took pics,89
0,happy or sad one thing about past is its no more good morning,75
0,gwr,6
1,wan win a meetgreet with westlife uracil or a m they are currently on what tour unbreakable untamed unkempt text or to cost p std text,166
0,check maili have mailed varma and kept copy to you regarding membershiptake careinsha allah,96
0,pa but not selected,23
1,this msg is for your mobile content order it has been resent as previous attempt failed due to network error queries to customersqueriesnetvisionukcom,154
0,yeah wheres your class at,29
0,until lor ya can go dinner together,49
1,pls stop bootydelious f be inviting you to be her friend reply yes oregon no see her linktoken stop send stop frnd to,156
0,just dropped em off omw back now,34
1,p alfie moons children in need song on ur mob tell ur ms txt tone charity to for nokias oregon poly charity for polys zed profit charity,169
1,we tried to contact you re your reply to our offer of a video handset anytime any network mins unlimited text camcorder answer or call now,158
1,valentines day special win over in our quiz and return your partner on the trip of a lifetime send go to now pmsg rcvd custcare,160
0,how come,10
1,do you privation anytime any network mins text and a new video phone for only five pounds per week call now or reply for delivery tomorrow,158
0,wifehow she knew the time of murder exactly,45
1,can u get telephone now i wanna chat set up meet call me now on u can semen here moro luv jane xx callsminmoremobsemspoboxpowa,153
1,our dating service is contacting you by someone you knowto find out who it is call from landline poboxwtgp,127
0,yay cant wait to party together,34
1,urgent call from your landline your complimentary ibiza holiday or cash await collection sae tcs po box sk wp ppm,154
1,wan win angstrom meetgreet with westlife u or angstrom m they are currently on what tour unbreakable untamed unkempt text or to cost p std text,175
1,you volition beryllium receiving this weeks triple echo ringtone shortly enjoy it,84
0,haf u eaten wat time u wan me come,39
1,sexy sexy cum and text me im wet and warm and ready for some porn uracil up for some fun this msg is free recd msgs p inc vat cancel text stop,149
1,loyal customer offer new nokia mobile from just at txtauctiontext from start to and get yours nowtctxt tc pmtmsg,138
0,friendship poem dear o dear u r not near but i can hear dont get fear live with cheer no more tear u r always my dear gud ni,128
1,double mins double txt price linerental on latest orange bluetooth mobiles call mobileupd for the very latest offers or calloptoutlf,160
0,meet you in corporation st outside gap you can see how my mind is working,79
1,a xmas reward is waiting for you our computer has randomly picked you from our loyal mobile customers to receive angstrom reward just call,164
1,iodine dont know u and u dont know me send chat to now and lets find each other only pmsg rcvd hgsuitelandsrowwjhl ldn years or over,163
1,this weeks savamob member offers are now accessible just call for details savamob pobox la wu only week savamob offers mobile,160
1,private your history statement for shows unredeemed s i m points call identifier code expires,136
0,dear take care i am just reaching homelove u a lot,55
0,sorry dude dont know how i forgot even after dan reminded me sorry hope you guys had fun,94
0,sry cant talk on phone with parents,38
0,yeah why not is the gang all ready,36
1,freeringtones answer real,33
0,gosh that what a pain spose i better come then,51
1,you are being contacted by our dating service by someone you know to find out who information technology is call from angstrom land line poboxwtgp,167
0,so when you gonna get rimac access,36
1,thanks for your ringtone order reference number x your mobile volition be charged should your tone not arrive please call customer services,161
0,ure welcome caught u using broken english again,55
0,are you being good baby,29
1,urgentwe are trying to contact u todays draw shows you have won guaranteedcall from landlinerequest mvalid for hours only,150
0,ok i wont call or disturb any one i know all are avoiding me i am a burden for all,85
1,marvel mobile play the official ultimate spiderman game on ur mobile right now text spider to for the game we ll send u angstrom free ball wallpaper,168
0,big brothers really scraped the barrel with this shower of social misfits,77
1,limitedtime offer get your bonus payout contact us immediately,66
1,freemsg our record indicate you may beryllium entitled to pounds for the accident you had to claim for free reply with yes to this msg to opt out text stop,163
0,did you show him and wot did he say or could u not c him dust,65
0,hes in lag thats just the sad part but we keep in touch thanks to skype,75
0,are you going to wipro interview today,40
1,you are awarded a sipix digital camera call from landline delivery within days t cesium box mbp yr warranty ppm p p,157
1,back work morro half term over can u degree centigrade me nite some sexy passion b i have go back chat now luv dena calls minmobsmorelkpoboxhpfl,176
0,okie thanx,17
0,appt is at lttimegt am not my fault u dont listen i told u twice,72
0,shall i bring us a bottle of wine to keep us amused only joking ill bring one anyway,90
1,sexy sexy cum and text me im wet and warm and ready for some porn u up for some fun this monosodium glutamate is free recd msgs p inc vat natural text stop,162
0,sif we have one good partnership going we will take lead,62
0,ok lor i ned go toa payoh a while return smth u wan send me there or wat,83
0,come around ltdecimalgt pm vikkyim otside nw il come by tht time,74
1,urgent your mobile number has be awarded with a prize guaranteed call from land line claim valid hrs only ppm,142
0,no da vijay going to talk in jaya tv,40
1,dear customer your number was selected for a mobile credit do not miss this opportunity,90
1,urgent your mobile number has be award with a prize guaranteed call from land line claim valid hrs only ppm,140
0,have a good trip watch out for remember when you get back we must decide about easter,90
1,as one of our registered subscribers uracil can enter the draw a gb gift voucher by replying with enter to unsubscribe text stop,137
1,welcome to ukmobiledate this msg be free giving you free calling to future mgs charge at p daily to cancel send go stop to,149
1,you are awarded a sipix digital camera call from landline delivery inside days t cs box mbp yr warranty ppm p p,153
1,final notice claim your gift card now do not miss this opportunity,69
0,missed your call cause i was yelling at scrappy miss u cant wait for u to come home im so lonely today,109
1,final notice claim your mobile credit now act fast,53
0,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend,160
0,don know i didt msg him recently,36
0,pls pls find out from aunt nike,33
0,i got a call from a landline number i am asked to come to anna nagar i will go in the afternoon,107
1,urgent call from your landline your complimentary ibiza vacation or cash await collection sae tcs polonium box sk wp ppm,159
1,dear uve been invited to xchat this is our final attempt to contact u txt chat to,91
0,can meh thgt some will clash really ah i dun mind i dun seen to have lost any weight gee,103
1,someone has conacted our dating service and entered your phone because they fancy youto find out who information technology is call from landline poboxntf,175
1,limitedtime offer get your mobile credit contact us immediately,67
1,goldviking m is inviting you to be his friend reply yes or no see him linktoken stop send stop frnd to,139
1,hope you enjoy your new contenttext stop to to unsubscribehelpp powered by toneyoucouk,112
1,beloved voucher holder to claim this weeks offer at you pc please go to linktoken tscs apply,117
0,if you ask her or she say any please message,46
1,urgent your mobile no xxx won a bonus caller prize on this is the nd attempt to reach you call asap boxnqp ppm,155
1,please call immediately as there be an urgent message waiting for you,81
1,free camera phones with linerental from month with cross ntwk mins price txt bundle deals also avble call or calloptoutj medium frequency,166
1,you have won a guarantee award or even cashto claim ur award call free on stop getstop on php rg jx,142
1,forwarded from hi this is your mailbox messaging sms alert you rich person messages you rich person matches please call back on to retrieve your message and matches,196
0,what r u cooking me for dinner,32
1,romantic paris nights flight from book now next year call tscs apply,95
0,may b approve panalambut it should have more posts,56
0,meeting u is my work tel me when shall i do my work tomorrow,66
1,you have won angstrom guaranteed award or maybe even cash to claim ur award call free on its angstrom legitimat efreefone number wat bash u think,179
1,u rich person a secret admirer who is looking make contact with ufind out who they rreveal who thinks ur sol specialcall on,153
0,ball is moving a lotwill spin in last so very difficult to bat,68
1,welcome to select an o service with add benefits you can now call our specially trained advisors free from your mobile by dialling,138
0,what do u reckon as need arrange transport if u cant do it thanks,70
0,are you coming to day for class,33
1,urgent please call from landline cash or a luxury canary island vacation await collection tcs sae award maq ppm,154
1,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit answer or call for delivery,131
0,i might go sch yar at e salon now v boring,47
1,six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply answer hl information,144
0,no need to buy lunch for me i eat maggi mee,48
1,dear voucher holder request your first class airport lounge pass when using your holiday voucher call when booking a x class quote,151
1,splashmobile choose from s of gr tones each wk this is a subscrition service with weekly tones costing p u have one credit kick back and enjoy,156
0,not sure yet still trying to get a hold of him,48
1,knock knock txt up to to enter the weekly draw a gift voucher a choice of stores for the yeartc linktoken age to stoptxtstopweek,158
1,urgent this is our second attempt to contact youyour prize from today is still up for grabsto claim call now,128
1,free entry into our weekly competition just text the word win to now tc linktoken,108
0,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows ill see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,385
0,sorry ill call later,23
1,privation a new video phone anytime any network mins half price line rental free text for months reply or call for free delivery,149
1,congratulations you have won a exclusive reward confirm within hours,74
1,can you get phones nowi want to chat times and meet call me now on you can appear here moro luv jane xx callsminmoremobsemspoboxpowa,159
0,are you willing to go for aptitude class,42
0,ok but they said ive got wisdom teeth hidden inside n mayb need remove,78
0,ooooooh i forgot to tell u i can get on yoville on my phone,60
0,when is school starting where will you stay whats the weather like and the food do you have a social support system like friends in the school all these things are important,181
1,please call immediately as there be an urgent message waiting for you,81
1,uve been selected to stay in of top british hotel for nothing holiday valued astatine dial to claim national rate call bx swss,164
1,had your contract mobile mnths latest motorola nokia etc all free double minute text on orange tariffs text yes for callback no to remove from record,160
0,why you dint come with us,27
1,want the latest video handset anytime any network mins onehalf price line rental reply or call for delivery tomorrow,136
0,going for dinnermsg you after,32
1,your account has been credited with free text messages to activate simply text from credit to no tcs linktoken,129
0,since when which side any fever any vomitin,48
0,i sent you ltgt bucks,29
0,hi you just spoke to maneesha v wed like to know if you were satisfied with the experience reply toll free with yes or no,127
0,i had askd u a question some hours before its answer,54
0,mum hope you are having a great day hoping this text meets you well and full of life have a great day abiola,113
1,winner as a valued network customer you rich person been selected to receivea prize reward to claim call claim code kl valid hours only,165
0,at home by the way,19
0,take us out shopping and mark will distract isaiahd,54
0,alright were hooked up where you guys at,43
1,have your mobile mths update for free to oranges latest colour camera mobile unlimited weekend calls call mobile upd on freefone or stoptxt,160
0,sure but since my parents will be working on tuesday i dont really need a cover story,87
0,hmm too many of them unfortunately pics obviously arent hot cakes its kinda fun tho,89
1,hello we have an important notice for you please review at your convenience,77
0,be happy there i will come after noon,39
1,rock yr chik get s of filthy films xxx pics on yr phone now rply filth to saristar ltd e yt p per days stop cancel,153
0,ok leave no need to ask,24
1,a xmas reward is waiting for you our computer has randomly picked you from our loyal mobile customers to receive a reward just call,158
0,i am going to bed now prin,27
1,dear voucher holder to claim this weeks offer astatine your pc please go to linktoken tscs apply,118
0,thanks for picking up the trash,33
1,we know someone world health organization you know that fancies you call to find out who pobox lshb p,123
1,hello from orange for months free access to games news and sport plus free texts and photo messages reply yes terms apply linktoken,157
1,you are being reach by our dating service by someone you know to discovery out who it is call from your mobile or landline poboxldns,149
0,first has she gained more than ltgt kg since she took in second has she done the blood sugar tests if she has and its ok and her blood pressure is within normal limits then no worries,192
1,rtking pro video club need help inforingtonekingcouk oregon call you must be club credits redeemable at linktoken enjoy,157
0,do u ever get a song stuck in your head for no reason and it wont go away til u listen to it like times,108
0,kthen come wenever u lik to come and also tel vikky to come by getting free time,88
1,free msg single find a partner in your area s of real people are wait to chat nowsend chat to cncl send stopcs per monosodium glutamate,166
0,im cool ta luv but vtired cause i have been doin loads of planning all wk we have got our social services inspection at the nursery take care spk sn x,161
1,sports fans get the latest sports news str your mobile week free plus a free tone txt sport on to linktoken txtp quota,157
1,you have won as a value vodafone customer our computer has picked you to win a prize to collect is easy just call,134
0,dear i have reache room,24
1,you have won angstrom guaranteed cash or angstrom prize to claim yr prize call our customer service representative on between ampm cost p,170
0,aaooooright are you at work,29
0,lol you forgot it eh yes ill bring it in babe,50
0,i am in hospital da i will return home in evening,53
0,hi its jess i dont know if you are at work but call me when u can im at home all eve xxx,90
0,oh howda gud gud mathe en samachara chikku,48
1,to review and keep the great nokia ngage game set with club nokia visit linktoken from reply notifications with the word out,159
0,jus finish watching tv u,29
0,havent,8
0,hmmm guess we can go kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao,120
0,then dun wear jeans lor,27
0,gran onlyfound out afew days agocusoon honi,47
1,welcome to select the o service with added benefits you can now call our specially trained advisors for free from your mobile phone by dialing,150
0,nokia phone is lovly,23
0,pls speak to that customer machan,35
1,themob check out our new selection of content games tones gossip baby and sport keep your mobile fit and funky text wap to,134
1,you are being contacted by our dating service by someone you know to find out world health organization it is call from your mobile or land line poboxldns,171
1,urgent please call from landline cash or angstrom luxury canary islands holiday await collection tcs sae po box mxy ppm,162
0,ok,6
1,refuse angstrom loan secured or unsecured cant get credit call free now or text back help we will,120
1,dear friend you have been invited to join xchat this is our last attempt to contact you text chat to,109
0,therere some people by mu im at the table by lambda,55
1,someone uracil know has asked our dating service contact you cant guess who call now all volition be revealed pobox lshb p,147
1,you will soon receive this weeks triple echo ringtone enjoy it,65
0,was really good to see you the other day dudette been missing you,70
0,usually the body takes care of it buy making sure it doesnt progress can we pls continue this talk on saturday,113
0,nope i just forgot will show next week,41
1,here is your discount code rp to stop further messages answer stop linktoken customer services,130
1,urgent please call from landline cash or a luxury canary island holiday expect collection tcs sae award maq ppm,154
1,call germany for only pence per minute call from a fixed line via access number no prepayment direct access,129
1,six chances to win cashfrom to txt csh and send to rates pday days tsandc applies reply hl info,135
1,january discount for men hot gay chat is now cheaper call nationwide prices from low pmin to peak pmin to stop texting call pmin,169
1,u have a secret admirer who be looking make contact with ufind out who they rreveal who thinks ur so specialcall on stopsms,143
0,wat makes u thk ill fall down but actually i thk im quite prone falls lucky my dad at home i ask him come n fetch me already,132
0,i will reach ur home in ltgt minutes,44
1,congratulations youve won youre a winner inch our august prize draw call now prize code,117
0,we have sent jd for customer service cum accounts executive to ur mail id for details contact us,98
1,natalja f is inviting you to beryllium her friend reply yes or no see her linktoken stop send stop frnd to,143
1,hello this is amy we will be sending you a free phone number in a couple of days which will give you an access to all the adult parties,140
1,bash you want a new nokia i colour phone deliveredtomorrow with free minutes to any mobile free texts free camcorder reply or call,175
0,happy new year my no man,27
